Customer_ID,Reference_Date,Geopolitical_Zone,State,Residence_Type,Age,Gender,Marital_Status,Education_Level,Occupation,Income_Regularity,Monthly_Income_NGN,Account_Type,Salary_Account,Tenure_Years,Account_Balance_NGN,Account_Balance_3M_Ago_NGN,Balance_Change_Pct_3M,Number_of_Products,Has_Debit_Card,Has_Credit_Card,Mobile_Banking,Internet_Banking,USSD_Banking,Preferred_Channel,Digital_Transaction_Share,Digital_Engagement,Monthly_Transactions_3M_Ago,Monthly_Transactions_Current,Transaction_Change_Pct_3M,Transaction_Frequency,Monthly_Transaction_Value_NGN,Months_Inactive_12M,Days_Since_Last_Transaction,Active_Member,Failed_Transactions_3M,Customer_Service_Contacts_6M,Complaints_6M,Unresolved_Complaints_6M,Average_Resolution_Days,Monthly_Bank_Fees_NGN,Fee_to_Income_Pct,Satisfaction_Score,Loan_Status,Loan_Amount_NGN,Credit_Score,Active_Account_at_Another_Bank,Churn_Within_6M
NGBK000001,2024-12-31,North Central,Nasarawa,Urban,35,Female,Married,Secondary,Civil Servant,Regular,83000,Salary,Yes,4.5,12700,9700,0.308,2,Yes,No,Yes,Yes,Yes,POS,0.82,High,41,40,-0.024,Very High,259300,0,5,Yes,0,0,0,0,0.0,1900,2.29,3,No Loan,0,624,No,No
NGBK000002,2024-12-31,South East,Anambra,Rural,30,Female,Single,Secondary,Self-Employed,Regular,160000,Current,Yes,3.7,629400,558500,0.127,2,Yes,Yes,Yes,Yes,Yes,ATM,0.8,High,40,45,0.125,Very High,778500,0,5,Yes,3,2,1,0,5.1,2600,1.62,3,No Loan,0,626,No,No
NGBK000003,2024-12-31,North Central,FCT,Urban,57,Male,Married,Secondary,Artisan/Skilled Trade,Variable,92000,Savings,No,4.5,21500,21400,0.007,1,Yes,Yes,Yes,No,Yes,Mobile App,0.56,High,15,2,-0.867,Low,57800,3,9,No,1,0,0,0,0.0,1300,1.41,5,Completed,688000,721,No,No
NGBK000004,2024-12-31,South East,Abia,Urban,43,Male,Single,No formal,Artisan/Skilled Trade,Irregular,170000,Savings,No,7.6,64800,51800,0.252,1,Yes,No,Yes,No,No,ATM,0.52,Medium,8,8,0.0,Medium,148100,0,11,Yes,0,0,0,0,0.0,900,0.53,4,No Loan,0,625,No,No
NGBK000005,2024-12-31,South West,Ondo,Urban,36,Male,Married,Secondary,Trader,Variable,68000,Current,No,10.9,59600,60000,-0.007,3,Yes,No,Yes,Yes,No,Branch,0.66,High,25,33,0.32,Very High,243200,0,0,Yes,1,0,0,0,0.0,3200,4.71,4,Current,719000,674,No,No
NGBK000006,2024-12-31,South East,Imo,Urban,32,Male,Single,OND/NCE,Professional/Technician,Regular,364000,Salary,Yes,6.6,93800,101600,-0.077,2,Yes,No,Yes,Yes,No,ATM,0.92,High,25,27,0.08,High,1586500,0,7,Yes,2,1,1,0,1.0,2000,0.55,4,No Loan,0,657,Yes,No
NGBK000007,2024-12-31,South South,Delta,Urban,52,Male,Single,Secondary,Professional/Technician,Regular,127000,Salary,Yes,9.4,107000,98700,0.084,2,Yes,No,No,No,No,ATM,0.61,Medium,21,18,-0.143,High,144600,0,9,Yes,1,0,0,0,0.0,1900,1.5,4,No Loan,0,614,Yes,No
NGBK000008,2024-12-31,South East,Enugu,Rural,29,Male,Married,Primary,Artisan/Skilled Trade,Variable,88000,Savings,No,6.7,29500,22900,0.287,2,No,No,Yes,Yes,No,ATM,0.4,Medium,20,21,0.05,High,341700,2,4,Yes,1,1,0,0,0.0,1100,1.25,4,No Loan,0,677,No,No
NGBK000009,2024-12-31,South West,Lagos,Urban,35,Male,Single,OND/NCE,Trader,Variable,369000,Current,No,1.4,320500,258500,0.24,1,Yes,No,Yes,Yes,No,POS,0.61,High,8,6,-0.25,Medium,178400,0,5,Yes,1,0,0,0,0.0,1500,0.41,4,No Loan,0,581,Yes,Yes
NGBK000010,2024-12-31,South East,Ebonyi,Rural,33,Female,Married,Secondary,Self-Employed,Irregular,209000,Current,No,8.5,79300,120200,-0.34,2,Yes,No,Yes,Yes,No,POS,0.49,High,13,12,-0.077,Medium,279600,1,6,Yes,0,1,0,0,0.0,2100,1.0,5,Current,1153000,736,Yes,No
